,0
r7d,0.16930544809258857
v39e,0.16609401829007284
comuna,0.16084152125972562
hh_d_cot,0.15990700419168377
s26b_c1,0.15923418926531208
s0,0.15764520482155475
o18,0.156389197437462
h9a,0.15504520313906903
e14pbt,0.1534615559430187
yta1h,0.15274088170240122
yinv02h,0.15233250888447072
s24c,0.1482569529086455
v37b,0.14815158924819338
y2005h,0.1463461811628801
o15,0.1451596176519721
e10,0.1439981956648932
oficio4,0.13995935580106997
y22d,0.13222473781400346
y27g,0.1319398428022672
y18a,0.1316632868388301
iai,0.13124634292084073
e11,0.1302318369088589
o12,0.12959072139626346
y26_1e,0.12692820714301786
y0,0.1266087080226838
r5,0.125604346594486
s33i2,0.12462691480885738
y0306,0.12319515481127455
h10a,0.12311343876070525
s33g2,0.12098468240792176
y0501h,0.1201775850718189
numper,0.11976532164745289
y5j,0.1196618704587946
y0510h,0.1194458971434333
y22e,0.1175837055792662
s32a,0.11623540495311797
y23c,0.11411476490079771
yah1,0.11174328281240908
y20c,0.10953912945860689
tot_par,0.10948914029699884
rama4_sub,0.10928043826523264
tot_per,0.10885096151870959
e12d,0.10589862456441274
r8h,0.10563157319621069
s19a,0.10546250839173292
r21i,0.1043142250205841
s19c,0.10375680799724823
y26_1b,0.09875990397001694
y2505h,0.09755694000981724
y2506h,0.09688070958886329
y0404h,0.09658613599707119
y23b,0.09633701550769032
e17,0.09552601709257469
y20a,0.09406754285989753
y3d,0.09374652405267539
ch1,0.09282094938178692
e9te,0.09224626094957337
y21a,0.09083670176844859
s18b,0.08831131118680102
r17d,0.08541574638686153
y0509h,0.08013771129105848
y22c,0.07846196694090503
s26d,0.07780277443972104
s5,0.07764745287747792
y27d,0.07622274949427923
o1,0.07403293852692404
r12b,0.0726731879182116
e9sup_g,0.07206761775724778
h6h,0.07170557997778407
s34c,0.06914093848435394
v29,0.06883244891623809
y25f,0.06641928737497682
r21j,0.0663298862949388
y0404,0.06489883126749572
e4,0.06358569103574821
v2,0.06259109576557295
o11,0.061857581262455476
y2202h,0.0602330841762912
o27,0.059475457783291615
e14pbd,0.057013925458702444
rama1_sub,0.05443770249200942
y27e,0.05431800220204556
y22b,0.054150084443491654
s23a,0.051250262162683635
v37h,0.049413609516237945
o7r2,0.04890610161879867
o29,0.046008498009174364
s27b,0.0458897258518172
s16,0.04554540196247685
s26b_c3,0.045199397013849486
v12,0.04489000803561944
s8,0.04166068148795578
hh_d_rez,0.04146159917688122
y26_1g,0.04109629411393262
o4,0.04109568722895324
r1c_año,0.04072798719912269
y26_4g_mo,0.04052334197932326
s18d,0.03593169282423601
s18e,0.03540948926183731
y2504h,0.0351385975668633
sexo,0.03063564072241009
o6,0.028658199398634832
y26_2j,0.028364037121241855
y22a,0.024692787466228078
r7f,0.02409233312124683
y5a,0.02286535123125312
r8d,0.02147707698712879
r7k,0.020787939189547622
