,0
ydes,0.23362067531372446
y0801,0.23332074707917141
r13a,0.23260638101618542
ypc,0.23164783605113334
ypchautcor,0.2307219421502629
yfa1h,0.22878479209890293
y13b,0.2285924317101432
y3d,0.22719081000741806
ytotcor,0.22699261221072944
r13b,0.22523859630231285
s26c,0.22472448253209878
y20a,0.22097189001516124
e13a,0.22073377452175127
v37b,0.2202045273235366
r7c,0.2191780134082259
s29,0.21912257157946258
ytot,0.21756604501868324
e14pbd,0.2174655698309507
y15b,0.21692014174498253
ypch,0.2166713062110783
yama,0.2154139751542189
s34a,0.21531134994937157
s13,0.2130802669286737
r9g,0.21217896932163333
y16a,0.21163889774383612
s32c,0.21101661930595955
yfa2,0.2107690189245857
r9l,0.21022004213348566
ypchtrabajo,0.21005212236060292
v37i,0.20955148985959515
yre2h,0.20823310975425507
y22e,0.20731113207051666
o24d,0.20554405056699088
y26_1b,0.20523689097280104
v34,0.20507126822128469
y26_4c_mo,0.20221150571973867
yre1,0.20215458720255744
y2603h,0.19843695124352434
v36a,0.19799803108666877
r2_p_cod,0.19509008829928673
e12c,0.1943480617890701
yautcor,0.19358653928222802
yoprcorh,0.1924068085600988
yoprcor,0.1924068085600988
yre1h,0.19182419716843252
y0305,0.18986039704424693
e16,0.18858398976636256
s26b_c3,0.18799232108041597
v18,0.18789548303867196
y0303,0.18479419011395296
s2a1,0.18408936780443383
yaut,0.18395559950713994
v31,0.18385868416250453
e7_subarea,0.18278566040593155
r9m,0.18272955945274091
yah2h,0.18109789549725344
y0101ch,0.1810715933032091
e7_cod_area,0.18049720931087432
y14a,0.17967998467233726
ytro,0.17530182916909687
y0403,0.17482092295423193
y260201ch,0.17426860577079542
v39c,0.17354960357561117
ytrabajocor,0.17325901204004437
v29,0.1729016415705416
s27b,0.1721749447323804
o11,0.1718802325424953
s20b,0.1717431301031999
h9,0.16978117605393853
s15,0.1689744025832472
v19,0.1687100865302576
y0101h,0.168647417030909
pobreza,0.16858866764504613
hh_d_entorno,0.16713259878071116
y11,0.16540882794047249
e14bt,0.1627451742875448
e14bu,0.16272019857914985
e14mt,0.15930717935095667
r9b,0.15906963659353876
y5j,0.156746076413897
y0510h,0.15539715322510764
y4d,0.14920313707453636
r9a,0.14062969449163804
o15,0.13801649487431072
s32e,0.13630467140452743
r9h,0.13505066081416978
o24c,0.13497932243752792
v37a,0.13371624300231374
y260201c,0.13369372229835616
r1a_cod,0.1282524377704681
y0402h,0.1279684619948712
r9f,0.12762029196919933
sexo,0.1266703227408264
ytroh,0.12575074674828346
e12d,0.12328954405480542
y26_4f_mo,0.12248262192904255
yosih,0.12188751064526121
y0404h,0.12096559055802543
r7g,0.12066450280325755
o18,0.11904020918006791
y260201,0.11786225960155006
r9o,0.11681918648681729
y4b,0.11617641615038053
o30,0.11536114119135422
e2,0.11454810067689591
v40,0.11440943643295613
y0505h,0.1142335570807528
o7r1,0.11403822194686297
y26_1f,0.11396161361215446
e5a,0.11254594908840541
y0303h,0.11153557016197825
y0509h,0.10989027249713167
r9e,0.10960550126792584
